Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.234414,0.233953
1,0,0,0.234286,0.233824
2,0,0,0.234108,0.233597
3,0,0,0.23379,0.23315
4,0,0,0.233185,0.232287
5,0,0,0.232074,0.230746
6,0,0,0.23021,0.228314
7,0,0,0.227391,0.225086
8,0,0,0.223599,0.221942
9,0.00393519,0.104167,0.219248,0.219993
10,0.124306,0.448611,0.214899,0.218911
11,0.369213,1.71736,0.210794,0.217802
12,0.734491,2.82014,0.207005,0.216544
13,1.18472,4.07153,0.203609,0.215516
14,1.69653,5.14167,0.200677,0.215061
15,2.28727,6.59097,0.198243,0.215305
16,2.99236,8.52569,0.196308,0.216257
17,3.56944,11.3917,0.194883,0.219787
18,3.98148,29.3528,0.192848,0.233785
19,3.38912,12.1153,0.191663,0.206825
20,6.20023,9.13194,0.176452,0.17735
21,10.9972,9.14236,0.172183,0.211189
22,12.9602,9.75,0.170747,0.221998
23,14.2924,10.4347,0.166177,0.202814
24,15.7711,14.3201,0.155207,0.154582
25,18.6243,16.9104,0.142641,0.143829
26,22.0657,20.1035,0.133613,0.135977
27,25.5595,23.4681,0.127783,0.131925
28,28.2407,25.7736,0.12399,0.129696
29,30.2373,27.9035,0.120986,0.126957
30,31.8775,29.5632,0.117997,0.122871
31,33.2609,31.0264,0.114799,0.118064
32,34.4838,32.2889,0.111479,0.113495
33,35.6375,33.5174,0.108203,0.109621
34,36.8979,34.5576,0.105111,0.106712
35,38.1248,35.4944,0.102278,0.104954
36,39.21,36.2007,0.0997083,0.104423
37,40.144,36.8458,0.0973606,0.105134
38,40.9336,37.6007,0.0951851,0.106738
39,41.5972,38.5056,0.0931434,0.108116
40,42.1662,39.5903,0.0912124,0.107782
41,42.6343,40.4118,0.0893796,0.104922
42,43.0718,41.0743,0.0876374,0.0999834
43,43.4435,41.7479,0.0859793,0.0943184
44,43.7859,42.525,0.0843981,0.0891128
45,44.0968,43.425,0.0828862,0.0850515
46,44.4093,43.8819,0.0814373,0.0823315
47,44.7067,44.309,0.0800463,0.0807684
48,44.9866,44.7528,0.0787079,0.0803266
49,45.2692,45.3097,0.0774159,0.0814564
50,45.5444,46.0632,0.0761645,0.0846164
51,45.8394,47.216,0.0749501,0.0891943
52,46.1361,48.3722,0.0737718,0.0927784
53,46.4373,49.1437,0.0726289,0.0927828
54,46.7454,49.4069,0.0715165,0.0893419
55,47.0447,49.6083,0.070433,0.0860744
56,47.3479,49.6097,0.069383,0.0822557
57,47.6502,49.8389,0.0683632,0.080053
58,47.966,51.2042,0.0673693,0.0840535
59,48.2926,53.3931,0.0664141,0.0916604
60,48.6095,54.3278,0.065507,0.0925046
61,48.9333,53.2479,0.0646495,0.0836896
62,49.2519,54.1701,0.063864,0.0855811
63,49.5644,58.3083,0.0631665,0.113147
64,49.9167,56.9333,0.0625017,0.103639
65,50.2315,58.8313,0.0617231,0.0995848
66,50.5583,54.8118,0.0611783,0.0771139
67,50.8875,57.6437,0.0604692,0.0955509
68,51.3222,60.9625,0.0605013,0.188887
69,51.7627,57.6521,0.060645,0.168363
70,52.2058,64.2326,0.0613564,0.156575
71,52.5819,60.441,0.0615438,0.21077
72,52.8266,60.5764,0.060793,0.189141
73,53.2414,63.3743,0.0614755,0.166071
74,53.5912,65.2646,0.0613427,0.176189
75,53.7968,61.9264,0.060725,0.168441
76,53.9431,59.5493,0.0601683,0.152965
77,54.1218,65.2236,0.0600036,0.164471
78,54.2484,61.2569,0.0599205,0.148131
79,54.4229,60.5507,0.0600512,0.22881
80,54.5847,65.1194,0.0606116,0.159366
81,54.5516,62.1806,0.0593999,0.0962176
82,54.5484,63.0896,0.0582328,0.116141
83,54.6764,59.491,0.058143,0.159561
84,54.978,63.6681,0.0592842,0.150238
85,55.0326,61.5014,0.0577598,0.181581
86,55.0764,64.6028,0.057737,0.107593
87,55.1984,57.1292,0.0562477,0.0616144
88,55.3713,62.5125,0.0562414,0.102971
89,55.5891,58.9021,0.0551786,0.0708997
90,55.7537,56.0993,0.0551642,0.0550685
91,55.9354,58.0764,0.0544035,0.0655816
92,56.1227,61.2812,0.0541911,0.0976382
93,56.3215,60.9729,0.0538453,0.126861
94,56.5326,62.4188,0.0536082,0.146262
95,56.7678,64.1889,0.0532333,0.154855
96,56.99,65.1264,0.0526708,0.137947
97,57.1995,65.2868,0.0521863,0.112657
98,57.4111,64.4118,0.0517344,0.096805
99,57.6525,64.4979,0.0513593,0.0948123
100,57.8755,65.1243,0.0510837,0.101306
101,58.0935,65.5785,0.0508764,0.108506
102,58.2738,65.4604,0.0506837,0.10897
103,58.4676,64.8167,0.0504506,0.102918
104,58.6627,64.059,0.0501538,0.0937427
105,58.8662,63.5701,0.0498039,0.0841808
106,59.0829,63.2646,0.049433,0.0759231
107,59.2773,63.0097,0.0490731,0.0694727
108,59.4734,62.759,0.0487416,0.0644339
109,59.6662,62.4799,0.0484414,0.0603498
110,59.8574,62.234,0.0481682,0.0570752
111,60.0278,62.0569,0.0479158,0.0546866
112,60.2072,62.0236,0.0476794,0.0532741
113,60.3764,62.1562,0.047456,0.0527971
114,60.5477,62.3868,0.0472434,0.0530331
115,60.7248,62.7035,0.0470399,0.0536493
116,60.885,63.0194,0.0468454,0.0543749
117,61.0486,63.2681,0.0466613,0.0550633
118,61.2037,63.5299,0.0464888,0.0556721
119,61.3475,63.7458,0.0463291,0.0562311
120,61.5005,63.9653,0.046183,0.0567633
121,61.6449,64.1542,0.0460498,0.0572613
122,61.7822,64.3417,0.0459277,0.0577029
123,61.9148,64.5097,0.0458138,0.0580696
124,62.0377,64.7,0.0457049,0.0583596
125,62.1544,64.8701,0.0455978,0.0585963
126,62.2734,65.0194,0.0454904,0.0588204
127,62.409,65.2042,0.0453808,0.0590695
128,62.5421,65.3806,0.045267,0.0593656
129,62.6787,65.5813,0.045147,0.0597163
130,62.7963,65.7986,0.0450179,0.060122
131,62.9273,66.0174,0.0448772,0.0605821
132,63.041,66.2111,0.0447225,0.061097
133,63.1699,66.4215,0.0445527,0.0616675
134,63.3157,66.6312,0.0443674,0.0622903
135,63.4528,66.8701,0.0441675,0.0629563
136,63.5988,67.1049,0.0439544,0.0636486
137,63.7498,67.3007,0.0437302,0.0643424
138,63.8968,67.4951,0.043497,0.0650062
139,64.0588,67.6646,0.0432572,0.0656055
140,64.2257,67.8153,0.0430131,0.0661122
141,64.388,67.9444,0.042767,0.066518
142,64.55,68.0444,0.0425213,0.0668381
143,64.7095,68.1097,0.0422781,0.0670976
144,64.8678,68.1993,0.0420395,0.0673171
145,65.0324,68.2681,0.0418073,0.0675458
146,65.1794,68.3479,0.0415834,0.0679069
147,65.3551,68.466,0.04137,0.0685554
148,65.5079,68.6056,0.0411683,0.0696265
149,65.6646,68.7208,0.040979,0.0710545
150,65.8176,68.7375,0.0408017,0.072487
151,65.9688,68.6437,0.0406352,0.073239
152,66.1329,68.3563,0.040479,0.0719753
153,66.2812,68.4194,0.0403411,0.0678136
154,66.4287,68.6278,0.0402376,0.0619064
155,66.5581,68.55,0.0401569,0.0543542
156,66.7095,68.2458,0.0400755,0.0473125
157,66.8481,67.9472,0.0399831,0.043252
158,66.9931,67.4347,0.0398788,0.0434184
159,67.1292,67.0771,0.039768,0.0472617
160,67.2387,67.2208,0.0396597,0.0518241
161,67.3546,67.7583,0.0395612,0.0566779
162,67.469,68.3771,0.039478,0.0633264
163,67.5681,68.8208,0.0393999,0.0709509
164,67.6738,68.9049,0.0392975,0.0763499
165,67.7641,68.8958,0.0391629,0.0741918
166,67.8701,68.8653,0.039049,0.0689112
167,67.9549,68.7618,0.0389193,0.0641853
168,68.0683,69.0069,0.0387688,0.0647881
169,68.1769,69.4688,0.0386202,0.0695462
170,68.2843,69.8833,0.0384886,0.0748711
171,68.3977,70.2347,0.0383774,0.0779196
172,68.4998,70.4729,0.0382823,0.0773178
173,68.613,70.559,0.0382044,0.0745296
174,68.7144,70.5306,0.0381378,0.0720943
175,68.819,70.5618,0.0380687,0.0718609
176,68.9245,70.6743,0.0380135,0.0743797
177,69.0447,70.9688,0.0379816,0.0769978
178,69.1671,71.2674,0.0379247,0.0771315
179,69.2917,71.425,0.0378009,0.0741187
180,69.3685,71.0819,0.0376579,0.0688278
181,69.4507,70.5042,0.0375308,0.0588452
182,69.5613,70.2417,0.0374258,0.0515292
183,69.6671,70.2076,0.0372998,0.0461998
184,69.7715,70.2035,0.0371358,0.0417493
185,69.8574,70.134,0.0369572,0.040375
186,69.965,70.1271,0.0367881,0.0420835
187,70.0611,70.2757,0.0366178,0.0460066
188,70.1889,70.6139,0.0364474,0.0522544
189,70.3093,70.8826,0.0362984,0.0581717
190,70.4523,71.0701,0.0361832,0.06049
191,70.562,71.2958,0.0360769,0.061401
192,70.6873,71.4153,0.0359943,0.0603098
193,70.784,71.6764,0.0359044,0.0604228
194,70.9067,71.6715,0.035867,0.059126
195,71.003,71.8521,0.0357733,0.0611238
196,71.0977,71.8972,0.0357809,0.0603666
197,71.203,71.9951,0.035702,0.0629243
198,71.2803,72.0264,0.0357083,0.0620109
199,71.3678,71.9944,0.0357032,0.0604334
200,71.4313,71.8701,0.0357284,0.0592252
201,71.494,71.7174,0.035752,0.0592888
202,71.54,72.0479,0.035737,0.061099
203,71.613,72.1646,0.0356742,0.0618135
204,71.6775,71.6882,0.0355774,0.0593253
205,71.7299,71.1472,0.0354701,0.0537253
206,71.7896,70.9917,0.0353578,0.0463793
207,71.859,71.0625,0.0352388,0.0393853
208,71.9326,71.2903,0.035114,0.0342949
209,72.0231,71.6937,0.0349879,0.0324331
210,72.1134,72.0868,0.0348684,0.0332205
211,72.2069,72.3972,0.0347574,0.0351677
212,72.2954,72.7188,0.0346509,0.0375552
213,72.3928,72.934,0.0345468,0.0401199
214,72.4944,73.0847,0.0344459,0.0427247
215,72.5972,73.2278,0.0343491,0.0452653
216,72.6815,73.3604,0.034257,0.0476247
