Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0.00231481,0.195833,0.22656,0.205503
1,2.15949,5.42361,0.19035,0.169645
2,14.4898,22.0271,0.152622,0.135863
3,26.0449,29.9785,0.120805,0.108129
4,35.3935,38.0944,0.0975809,0.0916974
5,41.038,41.3757,0.0833375,0.0811552
6,44.4764,44.5514,0.0733119,0.0738631
7,47.2197,47.816,0.065815,0.0682803
8,49.5111,50.5056,0.0599103,0.0635755
9,51.488,52.9042,0.0550731,0.0594625
10,53.3646,55.1549,0.051021,0.055865
11,55.1396,57.4306,0.0475844,0.0527359
12,56.8558,59.4799,0.0446521,0.0500248
13,58.5106,61.2451,0.0421448,0.0476843
14,60.1266,62.8083,0.0399945,0.0456651
15,61.678,64.166,0.0381402,0.043917
16,63.1329,65.3396,0.0365294,0.0423938
17,64.4961,66.3479,0.0351196,0.0410556
18,65.7363,67.2514,0.0338779,0.0398692
19,66.89,68.1097,0.0327776,0.0388083
20,67.9579,68.8465,0.0317958,0.0378518
21,68.8968,69.5396,0.0309128,0.036982
22,69.7454,70.2007,0.0301121,0.0361847
23,70.5044,70.841,0.0293804,0.0354482
24,71.2391,71.4528,0.028707,0.0347633
25,71.9014,72.0132,0.0280832,0.0341227
26,72.5433,72.5278,0.0275022,0.0335207
27,73.1259,73.0472,0.0269585,0.0329529
28,73.6625,73.5312,0.0264479,0.0324156
29,74.1924,74.0535,0.0259668,0.0319059
30,74.697,74.5486,0.0255124,0.031421
31,75.1655,75.0104,0.0250824,0.0309586
32,75.6044,75.4285,0.0246747,0.0305164
33,76.0134,75.8438,0.0242875,0.0300926
34,76.397,76.2444,0.0239193,0.0296854
35,76.762,76.6153,0.0235684,0.0292932
36,77.1144,76.9875,0.0232336,0.0289149
37,77.4644,77.3451,0.0229135,0.0285494
38,77.7907,77.7007,0.0226071,0.0281958
39,78.1109,78.0229,0.0223133,0.0278533
40,78.4176,78.3056,0.0220312,0.0275215
41,78.7164,78.6139,0.02176,0.0271996
42,78.9998,78.8854,0.021499,0.0268872
43,79.2755,79.15,0.0212473,0.0265836
44,79.5275,79.4062,0.0210046,0.0262885
45,79.7859,79.6583,0.0207701,0.0260013
46,80.0329,79.9062,0.0205435,0.0257216
47,80.2769,80.1444,0.0203244,0.0254491
48,80.4979,80.3889,0.0201122,0.0251834
49,80.7241,80.5958,0.0199068,0.0249242
50,80.9556,80.8007,0.0197077,0.0246713
51,81.1657,81.0389,0.0195146,0.0244246
52,81.3683,81.2486,0.0193273,0.0241836
53,81.5634,81.4368,0.0191455,0.0239484
54,81.7613,81.6403,0.018969,0.0237187
55,81.9468,81.8507,0.0187975,0.0234942
56,82.1241,82.0208,0.0186308,0.023275
57,82.3074,82.2118,0.0184687,0.0230607
58,82.4789,82.3882,0.0183111,0.0228513
59,82.6488,82.5382,0.0181578,0.0226466
60,82.8049,82.7083,0.0180085,0.0224465
61,82.963,82.884,0.0178633,0.0222509
62,83.1146,83.0389,0.0177218,0.0220597
63,83.2671,83.1799,0.017584,0.0218728
64,83.4213,83.3444,0.0174498,0.0216901
65,83.5674,83.4736,0.017319,0.0215116
66,83.7056,83.6188,0.0171915,0.0213372
67,83.8442,83.7569,0.0170671,0.0211667
68,83.9775,83.8986,0.0169457,0.0210002
69,84.1021,84.016,0.0168273,0.0208376
70,84.2222,84.15,0.0167116,0.0206788
71,84.3449,84.2799,0.0165987,0.0205236
72,84.4681,84.4056,0.0164883,0.020372
73,84.5907,84.5201,0.0163804,0.020224
74,84.7067,84.634,0.0162749,0.0200793
75,84.8255,84.7479,0.0161717,0.019938
76,84.9313,84.859,0.0160707,0.0198
77,85.0405,84.9799,0.0159718,0.0196651
78,85.144,85.0799,0.015875,0.0195332
79,85.2463,85.1882,0.0157802,0.0194043
