Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
134,87.4106,87.3292,0.0198198,0.0242393
135,87.6715,87.3368,0.0196095,0.0305455
136,87.5067,86.1826,0.0197501,0.0488047
137,87.5132,87.0215,0.0197248,0.0301886
138,87.5558,86.9965,0.0196631,0.0404037
139,87.7083,86.9674,0.0194803,0.0297482
140,87.7069,87.7292,0.0195489,0.026978
141,87.6266,86.3549,0.0197918,0.048976
142,87.5928,87.1931,0.0199085,0.0270698
143,87.6178,86.9437,0.0196587,0.0356115
144,87.6562,87.6597,0.0196569,0.0275158
145,87.7912,87.0556,0.0195362,0.0391653
146,87.619,87.1576,0.0196005,0.0329936
147,87.8688,87.5806,0.0195319,0.0379741
148,87.8363,85.8375,0.019401,0.04768
149,87.8044,87.6771,0.019508,0.0195707
150,87.7134,85.1625,0.0195,0.0599916
151,88.0171,87.2514,0.0192791,0.0280559
152,87.8035,87.8375,0.0196521,0.0327547
153,87.8303,87.4188,0.0194338,0.0282447
154,87.9287,87.3076,0.0194358,0.0307945
155,87.9352,88.1514,0.0192689,0.0230127
156,87.99,87.5042,0.0193248,0.0357094
157,87.7977,87.5118,0.0194109,0.0275335
158,87.9854,87.3125,0.0191425,0.0294029
159,88.0507,87.0806,0.0192766,0.0301602
160,88.0123,88.4146,0.0193042,0.016825
161,88.0764,87.759,0.0191156,0.0217594
162,88.1572,87.9208,0.0190115,0.0284058
163,87.9343,87.3306,0.0194161,0.0346161
164,88.0484,88.2792,0.0189666,0.0251189
165,88.0653,87.9882,0.0192112,0.0224188
166,88.1646,87.259,0.0190044,0.035949
167,88.1627,88.1375,0.0190524,0.0261215
168,88.2389,87.5972,0.0190645,0.0342348
169,88.0757,87.5597,0.0193279,0.0284608
170,88.2565,87.6368,0.0189892,0.0282314
171,88.1539,87.8333,0.0190429,0.0203982
172,88.2484,86.7694,0.0190005,0.0448726
173,88.4275,88.2181,0.0189028,0.0213046
174,88.2498,88.1,0.019059,0.0307665
