Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
139,46.4205,48.375,0.00617825,0.00669657
140,46.4205,48.325,0.0061557,0.00667984
141,46.5039,48.35,0.00613365,0.00666335
142,46.5955,48.425,0.00611212,0.00664708
143,46.7456,48.525,0.00609109,0.00663103
144,46.8206,48.775,0.00607054,0.00661521
145,46.9872,48.975,0.00605043,0.00659965
146,47.2039,49.125,0.00603074,0.00658434
147,47.3956,49.275,0.00601144,0.00656931
148,47.4206,49.5,0.00599249,0.00655456
149,47.5123,49.6,0.00597389,0.0065401
150,47.6706,49.7,0.0059556,0.00652594
151,47.7706,49.75,0.00593761,0.00651205
152,47.8373,49.825,0.0059199,0.00649846
153,47.954,49.925,0.00590247,0.00648514
154,48.104,50.075,0.00588528,0.0064721
155,48.2124,50.15,0.00586835,0.00645934
156,48.304,50.3,0.00585165,0.00644683
157,48.454,50.5,0.00583518,0.00643459
158,48.6374,50.6,0.00581893,0.0064226
159,48.7874,50.675,0.00580289,0.00641085
160,48.8291,50.7,0.00578706,0.00639934
161,48.9291,50.9,0.00577143,0.00638807
162,49.0708,50.925,0.00575599,0.00637702
163,49.1874,50.95,0.00574074,0.00636619
164,49.2374,51.1,0.00572567,0.00635557
165,49.3791,51.225,0.00571078,0.00634516
166,49.4291,51.35,0.00569606,0.00633495
167,49.6041,51.475,0.00568152,0.00632493
168,49.7125,51.575,0.00566713,0.00631511
169,49.8208,51.65,0.00565291,0.00630546
170,49.9292,51.725,0.00563884,0.006296
171,50.0542,51.85,0.00562492,0.00628671
172,50.1708,51.875,0.00561115,0.00627759
173,50.2292,52.025,0.00559752,0.00626864
174,50.3375,52.05,0.00558403,0.00625986
175,50.4042,52.075,0.00557067,0.00625123
176,50.5959,52.1,0.00555745,0.00624276
177,50.6959,52.175,0.00554435,0.00623446
178,50.7792,52.2,0.00553139,0.00622631
179,50.9292,52.225,0.00551854,0.00621831
180,51.0293,52.25,0.00550582,0.00621047
181,51.1293,52.275,0.00549321,0.00620278
182,51.1959,52.3,0.00548073,0.00619525
183,51.2293,52.375,0.00546836,0.00618786
184,51.3043,52.475,0.0054561,0.00618063
185,51.3793,52.55,0.00544396,0.00617354
186,51.4626,52.675,0.00543193,0.00616661
187,51.5376,52.85,0.00542,0.00615981
188,51.6043,52.925,0.00540819,0.00615317
189,51.7126,52.975,0.00539649,0.00614666
190,51.7876,53.025,0.00538489,0.00614029
191,51.871,53.125,0.0053734,0.00613406
192,51.921,53.15,0.00536201,0.00612795
193,51.9877,53.2,0.00535073,0.00612198
194,52.1377,53.225,0.00533955,0.00611613
195,52.2294,53.275,0.00532846,0.00611041
196,52.3627,53.325,0.00531748,0.0061048
197,52.4044,53.325,0.00530659,0.0060993
198,52.4294,53.3,0.0052958,0.00609392
199,52.571,53.375,0.00528511,0.00608864
200,52.6461,53.475,0.0052745,0.00608347
201,52.7377,53.525,0.00526399,0.00607839
202,52.7627,53.575,0.00525356,0.00607341
203,52.8044,53.675,0.00524323,0.00606853
204,52.9044,53.875,0.00523298,0.00606373
205,52.9044,53.95,0.00522281,0.00605902
206,52.9711,54,0.00521273,0.0060544
207,53.0378,54.025,0.00520273,0.00604986
208,53.1211,54.075,0.00519282,0.00604539
209,53.1628,54.075,0.00518298,0.006041
210,53.2378,54.225,0.00517323,0.00603668
211,53.2961,54.25,0.00516355,0.00603244
212,53.3294,54.4,0.00515395,0.00602826
213,53.3961,54.625,0.00514443,0.00602415
214,53.4211,54.65,0.00513498,0.0060201
215,53.4628,54.675,0.00512561,0.00601612
216,53.5711,54.7,0.00511631,0.00601219
217,53.7045,54.75,0.00510709,0.00600833
218,53.8462,54.85,0.00509794,0.00600452
219,53.9212,54.85,0.00508886,0.00600077
220,54.0378,54.9,0.00507986,0.00599707
221,54.1378,54.95,0.00507092,0.00599342
222,54.2379,54.975,0.00506206,0.00598983
223,54.3129,55,0.00505327,0.00598628
224,54.3629,55.025,0.00504454,0.00598278
225,54.4045,55.125,0.00503589,0.00597932
226,54.4462,55.225,0.0050273,0.00597591
227,54.5045,55.25,0.00501878,0.00597254
228,54.5545,55.35,0.00501033,0.00596921
229,54.6212,55.475,0.00500195,0.00596592
230,54.7546,55.525,0.00499363,0.00596267
231,54.8212,55.65,0.00498537,0.00595946
232,54.8962,55.675,0.00497718,0.00595628
233,54.9962,55.675,0.00496905,0.00595314
234,55.0546,55.725,0.00496099,0.00595003
235,55.0963,55.75,0.00495298,0.00594695
236,55.1546,55.725,0.00494504,0.00594391
237,55.1879,55.8,0.00493715,0.00594089
238,55.2463,55.85,0.00492933,0.00593791
239,55.3213,55.85,0.00492156,0.00593495
240,55.3629,55.8,0.00491385,0.00593202
241,55.4046,55.975,0.00490619,0.00592912
242,55.5213,55.975,0.00489859,0.00592624
243,55.538,56,0.00489105,0.00592339
244,55.663,56,0.00488355,0.00592056
245,55.7213,56.1,0.00487611,0.00591775
246,55.788,56.175,0.00486872,0.00591497
247,55.8297,56.25,0.00486138,0.00591221
248,55.8797,56.275,0.00485409,0.00590948
249,55.938,56.425,0.00484685,0.00590676
250,56.013,56.525,0.00483965,0.00590406
251,56.0797,56.55,0.0048325,0.00590139
252,56.113,56.675,0.00482539,0.00589873
253,56.2047,56.675,0.00481833,0.00589609
254,56.2297,56.725,0.00481132,0.00589347
255,56.338,56.8,0.00480434,0.00589087
256,56.4297,56.825,0.0047974,0.00588828
257,56.4464,56.85,0.00479051,0.00588571
258,56.513,56.925,0.00478365,0.00588316
259,56.5547,56.95,0.00477683,0.00588062
260,56.6047,57.05,0.00477005,0.0058781
261,56.6297,57.1,0.00476331,0.00587558
262,56.6797,57.15,0.0047566,0.00587309
263,56.7131,57.15,0.00474992,0.0058706
264,56.7381,57.15,0.00474327,0.00586813
265,56.7797,57.2,0.00473666,0.00586567
266,56.8631,57.225,0.00473007,0.00586322
267,56.8964,57.225,0.00472352,0.00586077
268,56.9631,57.3,0.00471699,0.00585834
269,57.0298,57.35,0.00471049,0.00585592
270,57.0631,57.35,0.00470401,0.0058535
271,57.0798,57.4,0.00469756,0.00585109
272,57.0964,57.375,0.00469112,0.00584869
273,57.0798,57.4,0.00468471,0.00584629
274,57.1548,57.475,0.00467833,0.0058439
275,57.1964,57.525,0.00467195,0.00584151
276,57.2381,57.575,0.0046656,0.00583913
